"","author","datetimestamp","description","heading","id","language","origin"
"2514","By Ralph Atkins in Frankfurt, Kerin Hope in Athens and David Oakley in London",2010-03-23,NA,"ECB signals Greek bond concession","FTFT-100323-e","en","Financial Times"
"2515","By Kerin Hope in Athens and David Oakley in London",2010-03-22,NA,"ECB signals Greek bond concession","FTCOM-100322-e","en","Financial Times"
"2516","Atkins, Ralph",2010-03-19,NA,"Angela Merkel upsets the ECB","FTFT-100319-e","en","Financial Times"
"2517","By Ralph Atkins in Frankfurt",2010-03-18,NA,"ECB set for regime change as Trichet term nears end","FTFT-100318-e","en","Financial Times"
"2518","By Ralph Atkins in Frankfurt and David Oakley in London",2010-03-18,NA,"ECB wonders if egalitarian approach is ill-conceived","FTFT-100318-e","en","Financial Times"
"2519","Oakley, David",2010-03-18,NA,"How the ECB system works","FTFT-100318-e","en","Financial Times"
"2520","By Gillian Tett",2010-03-11,NA,"Common sense of penalising the profligate eludes ECB","FTFT-100311-e","en","Financial Times"
"2521","By Brian Blackstone",2010-03-05,NA,"World News: Greece Should Turn to EU, Not IMF, for Aid, ECB Says","J-100305-e","en","The Wall Street Journal"
"2522","By Brian Blackstone",2010-03-05,NA,"ECB Puts Greek Aid Up to EU; ECB Holds Rates Steady; BOE Keeps Policy Unchanged and Loose","WSJO-110416-e","en","The Wall Street Journal"
"2523","By Ralph Atkins in Frankfurt",2010-03-05,NA,"ECB pushes on with emergency liquidity aid withdrawal","FTFT-100305-e","en","Financial Times"
"2524","By Ralph Atkins in Frankfurt",2010-03-05,NA,"ECB pushes on with removal of emergency aid","FTFT-100305-e","en","Financial Times"
"2525",NA,2010-03-05,NA,"Exit this way; ECB must keep money loose and say what to do for Greece","FTFT-100305-e","en","Financial Times"
"2526","By Nina Koeppen",2010-03-04,NA,"Europe's Economic Woes: ECB Expected To Unwind Liquidity Measures","J-100304-e","en","The Wall Street Journal"
"2527","By Nina Koeppen",2010-03-04,NA,"ECB Praises Greek Plans, Not Bailout","WSJO-100304-e","en","The Wall Street Journal"
"2528","By Ralph Atkins in Frankfurt",2010-03-03,NA,"ECB prepares for business as usual","FTFT-100303-e","en","Financial Times"
"2529","By Gillian Tett",2010-02-25,NA,"ECB keeps lid on Greek bond data","FTCOM-100225-e","en","Financial Times"
"2530","Atkins, Ralph",2010-02-19,NA,"ECB whodunnit?","FTFT-100219-e","en","Financial Times"
"2531","By Paul Betts",2010-02-18,NA,"The German dilemma to secure the ECB presidency","FTFT-100218-e","en","Financial Times"
"2532",NA,2010-02-18,NA,"Euro succession; Europe must choose ECB leaders on competence only","FTFT-100218-e","en","Financial Times"
"2533","By Ralph Atkins in Frankfurt",2010-02-17,NA,"ECB highlights rise in loan rejections","FTFT-100217-e","en","Financial Times"
"2534","By Ralph Atkins in Frankfurt",2010-02-17,NA,"ECB begins leadership overhaul as No 2 chosen","FTFT-100217-e","en","Financial Times"
"2535","By Ralph Atkins in Frankfurt and Peter Wise in Lisbon",2010-02-16,NA,"Portugal bank chief set for ECB post","FTFT-100216-e","en","Financial Times"
"2536","By Adam Cohen and Charles Forelle",2010-02-09,NA,"World News: Greece's Fiscal Woes Bring Bailout Questions --- While ECB and National Banks Can't Directly Aid Country, Neighboring Euro-Zone Nations or the IMF Could Step In","J-100209-e","en","The Wall Street Journal"
"2537","By Nina Koeppen",2010-02-09,NA,"Greek Banks' Woes May Force ECB's Hand","WSJO-100209-e","en","The Wall Street Journal"
"2538","By Adam Cohen And Charles Forelle",2010-02-09,NA,"Greece's Fiscal Woes Bring Bailout Questions; While ECB and National Banks Can't Bail Out Nation, Neighboring Euro-Zone Countries or the IMF Could Step In","WSJO-100209-e","en","The Wall Street Journal"
"2539","By Brian Blackstone",2010-02-05,NA,"ECB Chief Defends Common Currency","WSJO-100205-e","en","The Wall Street Journal"
"2540",NA,2010-02-05,NA,"ECB takes its time over bowling coach","GRDN-100204-e","en","The Guardian"
"2541","By Ralph Atkins in Frankfurt, Mark Mulligan in Madrid and Peter Wise in Lisbon",2010-02-05,NA,"ECB president reassures on public finances","FTFT-100205-e","en","Financial Times"
"2542","By Gillian Tett",2010-02-04,NA,"The race is on for Greece before the ECB exits","FTCOM-100204-e","en","Financial Times"
"2543",NA,2010-02-04,NA,"ECB & BoE","FTCOM-100204-e","en","Financial Times"
"2544","By Brian Blackstone                And Nina Koeppen",2010-01-30,NA,"Europe's Banks Tighten Credit, Frustrating ECB","WSJO-100130-e","en","The Wall Street Journal"
"2545","By Brian Blackstone and Matthew Karnitschnig",2010-01-27,NA,"World Economic Forum: Bank Regulation to Dominate Davos --- ECB's Trichet, Bank of England's King Offer Support for Obama Proposals","J-100127-e","en","The Wall Street Journal"
