"","author","datetimestamp","description","heading","id","language","origin"
"1513","By Joellen Perry",2009-03-04,NA,"ECB Opposes Quicker Euro Entry for Troubled East Europe Nations","WSJO-091008-e","en","The Wall Street Journal"
"1514","By Joellen Perry",2009-03-04,NA,"World News: ECB Opposes Quicker Euro Entry For Troubled East Europe Nations","J-090304-e","en","The Wall Street Journal"
"1515","Mike Selvey, Bridgetown",2009-02-25,NA,"Cricket: Clarke calls for extra diligence post-Stanford: The ECB chairman, re-elected this week, admits mistakes were made and that outside help is needed to avoid future misjudgment","GRDN-090225-e","en","The Guardian"
"1516","David Gow, Brussels",2009-02-24,NA,"Financial: Hedge funds and private equity try to head off tighter EU controls: Self-regulation has failed, declares ECB chief Trichet: McCreevy removed from overseeing tighter rules","GRDN-090224-e","en","The Guardian"
"1517","By Nina Koeppen",2009-02-23,NA,"ECB Considers Unconventional Tools; But the Central Bank Still Has Room to Cut Rates, Member Says","WSJO-091008-e","en","The Wall Street Journal"
"1518","Owen Gibson",2009-02-21,NA,"Going postal: ECB declares an end to all dealings with Stanford","GRDN-090221-e","en","The Guardian"
"1519","By Bertrand Benoit in Berlin and Ralph Atkins in Frankfurt",2009-02-21,NA,"ECB warns Germany not to aid other EU states on public debt","FTFT-090221-e","en","Financial Times"
"1520","By Nathalie Boschat and Gabriele Parussini",2009-02-20,NA,"Lagarde isn't sure the ECB can easily oversee EU banks","WSJE-090220-e","en","The Wall Street Journal"
"1521","Richard Williams",2009-02-19,NA,"Cricket: Stanford crisis: ECB shamed by visit to financial fairyland","GRDN-090219-e","en","The Guardian"
"1522",NA,2009-02-19,NA,"Cricket: Stanford crisis: Questions for the ECB","GRDN-090219-e","en","The Guardian"
"1523","Lawrence Booth and Owen Gibson",2009-02-19,NA,"Cricket: Stanford crisis: Angry counties consider giving back 'sullied' money from Stanford: Hampshire chairman calls for moral debate over cash: ECB board member says decision was in good faith","GRDN-090219-e","en","The Guardian"
"1524","Andy Bull",2009-02-18,NA,"Sport: Cricket: It had always seemed to good to be true. It was: The seeds of Allen Stanford's downfall were evident about the same time the ECB ditched their deal with him. Questions must be asked about what due diligence was done","GRDN-090218-e","en","The Guardian"
"1525","Owen Gibson and Andrew Clark, New York",2009-02-18,NA,"National: Last year he promised cricket a stack of cash. Last night he was facing disgrace: US regulator accuses Allen Stanford of banking scam: ECB pressured to explain deal to transform the sport","GRDN-090218-e","en","The Guardian"
"1526",NA,2009-02-18,NA,"First-class counties demand answers from ECB over Stanford fiasco","GRULTD-090218-e","en","The Guardian"
"1527","Andy Bull and Owen Gibson",2009-02-17,NA,"Cricket: ECB in limbo as list of bodies investigating Stanford grows","GRDN-090217-e","en","The Guardian"
"1528","By Alistair MacDonald in London and Joellen Perry in Frankfurt",2009-02-13,NA,"International Finance: ECB, U.K. Spar on Bank Rules","J-090213-e","en","The Wall Street Journal"
"1529","Owen Gibson and Elena Moya",2009-02-13,NA,"Cricket: ECB on alert as new investigation launched into Stanford's finances","GRDN-090213-e","en","The Guardian"
"1530","By Joellen Perry",2009-02-06,NA,"Economic woes drive central banks --- Bank of England cuts rates to record low 1%, while ECB anticipates future reductions","WSJE-090206-e","en","The Wall Street Journal"
"1531","By Joellen Perry",2009-02-06,NA,"Bank of England's Cut Increases Pressure on ECB","WSJO-091008-e","en","The Wall Street Journal"
"1532","By Ralph Atkins in Frankfurt and Chris Giles in London",2009-02-06,NA,"ECB holds rate while Bank of England cuts","FTFT-090206-e","en","Financial Times"
"1533",NA,2009-02-05,NA,"ECB chief hints at rate cut to 1.5%","GRULTD-090205-e","en","The Guardian"
"1534",NA,2009-02-05,NA,"Beyond convention; BoE and ECB must cut policy rates - and then go further","FTFT-090205-e","en","Financial Times"
"1535","By Ralph Atkins in Frankfurt",2009-02-05,NA,"ECB holds rates at 2% amid more gloom","FTCOM-090205-e","en","Financial Times"
"1536","By Joellen Perry in Davos, Switzerland, and Marcus Walker in Berlin",2009-02-02,NA,"Davos: World Economic Crisis: ECB to Lay Out 'Bad Bank' Guidelines","J-090202-e","en","The Wall Street Journal"
"1537","By Ben Hall in Paris, Nikki Tait in Brussels, Ralph Atkins in Frankfurt and Gillian Tett in Davos",2009-01-29,NA,"Paris presses for ECB credit derivative clearer","FTCOM-090129-e","en","Financial Times"
"1538","By Andrea Thomas",2009-01-27,NA,"OECD Chief: ECB Has Room to Cut","WSJO-091008-e","en","The Wall Street Journal"
"1539","By Andrea Thomas",2009-01-27,NA,"OECD chief: ECB has room to cut","WSJE-090127-e","en","The Wall Street Journal"
"1540","By Ralph Atkins in Luxembourg",2009-01-26,NA,"ECB harbours doubts over quantitative easing","FTFT-090126-e","en","Financial Times"
"1541","By Ralph Atkins in Luxembourg and Stefan Wagstyl in London",2009-01-23,NA,"ECB set to rebuff non-euro nations","FTFT-090123-e","en","Financial Times"
"1542","By Ralph Atkins in Luxembourg and Stefan Wagstyl in London",2009-01-23,NA,"ECB wary on aid outside eurozone","FTFT-090123-e","en","Financial Times"
"1543","Matt Scott",2009-01-22,NA,"Digger: ECB hopes new code can block Ashes TV listing","GRDN-090122-e","en","The Guardian"
"1544","Atkins, Ralph Tait, Nikki",2009-01-22,NA,"Crisis mismanagement casts ECB as saviour","FTFT-090122-e","en","Financial Times"
"1545",NA,2009-01-16,NA,"ECB and the euro","FTFT-090116-e","en","Financial Times"
"1546","By Joellen Perry",2009-01-16,NA,"World News: ECB Cuts Rates to 2%, Matching '05 Low","J-090116-e","en","The Wall Street Journal"
"1547","Cricket Matt Scott and David Hopps",2009-01-16,NA,"Clarke sees opponents for ECB chair vanish before him","GRDN-090115-e","en","The Guardian"
"1548","By Marcus Walker in Berlin, Joellen Perry in Frankfurt and Alkman Granitsas in Athens",2009-01-15,NA,"More bad economic news adds pressure on ECB --- Greek ratings cut, falling German GDP augur more gloom","WSJE-090115-e","en","The Wall Street Journal"
"1549",NA,2009-01-12,NA,"ECB's management systems shouldn't disbar outsider Ford","GRULTD-090112-e","en","The Guardian"
"1550","<U+FEFF>Ashley Seager",2009-01-09,NA,"Financial: European Central Bank under pressure to cut rates","GRDN-090109-e","en","The Guardian"
"1551","By Nicholas Winning",2009-01-08,NA,"ECB Rate Cut More Likely as Producer Prices Fall","WSJO-091008-e","en","The Wall Street Journal"
"1552","Duncan Fletcher",2009-01-08,NA,"Sport: Cricket: England in crisis: Does the ECB realise the Ashes are in July?","GRDN-090108-e","en","The Guardian"
"1553","Atkins, Ralph",2009-01-08,NA,"ECB stays cool over big interest rate cuts despite rising clamour","FTFT-090108-e","en","Financial Times"
"1554","By Nicholas Winning",2009-01-08,NA,"ECB rate cut more likely as producer prices fall","WSJE-090108-e","en","The Wall Street Journal"
"1555","By Don Curren",2009-01-07,NA,"Euro Continues Slide on Rate Talk --- Sterling Parity Takes Another Hit as Traders Speculate Over ECB Decision","J-090107-e","en","The Wall Street Journal"
"1556","By Nicholas Winning",2009-01-06,NA,"Case Builds for ECB Rate Cut","WSJO-091008-e","en","The Wall Street Journal"
"1557","By Nicholas Winning",2009-01-06,NA,"World News: Case Builds for ECB Rate Cut","J-090106-e","en","The Wall Street Journal"
"1558","By Ralph Atkins in Frankfurt, Victor Mallet in Madrid and Vincent Boland in Milan",2009-01-06,NA,"Inflation data put pressure on ECB","FTFT-090106-e","en","Financial Times"
"1559","By Ralph Atkins in Frankfurt",2009-01-05,NA,"Senior official seeks extra powers for ECB","FTFT-090105-e","en","Financial Times"
"1560","By Daniel Schäfer and Ralph Atkins in Frankfurt",2009-01-05,NA,"Hochtief attacks ECB over HQ plan","FTFT-090105-e","en","Financial Times"
"1561",NA,2008-12-31,NA,"Weak Data in EU suggest ECB Will Ease Further","WSJO-091007-e","en","The Wall Street Journal"
"1562","By Ralph Atkins in Frankfurt",2008-12-29,NA,"Europeans give ECB bad marks on inflation","FTFT-081229-e","en","Financial Times"
"1563",NA,2008-12-22,NA,"German factory prices plunge, fueling hopes for ECB rate cut","WSJO-091008-e","en","The Wall Street Journal"
"1564","By Ralph Atkins in Frankfurt",2008-12-13,NA,"ECB confident it has power to fight downturn","FTFT-081213-e","en","Financial Times"
"1565","By Joellen Perry",2008-12-12,NA,"ECB Policy Makers Cool Expectations of Rate Cut","WSJO-091007-e","en","The Wall Street Journal"
"1566","By Joellen Perry",2008-12-12,NA,"World News: ECB Policy Makers Cool Expectations of Rate Cut","J-081212-e","en","The Wall Street Journal"
"1567","By Joellen Perry",2008-12-05,NA,"Trichet Coaxes Europeans to Shift Gears on Crisis; ECB President Led Institution Often Criticized as Slow-Footed in a More Aggressive Response to Deepening Slump","WSJO-091007-e","en","The Wall Street Journal"
"1568","By Joellen Perry",2008-12-05,NA,"Trichet Coaxes Europeans to Shift Gears on Crisis --- ECB President Led Institution Often Criticized as Slow-Footed in a More Aggressive Response to Deepening Slump","J-081205-e","en","The Wall Street Journal"
"1569","By Chris Giles in London and Ralph Atkins in Brussels",2008-12-05,NA,"Rates hit lowest since 1951; Bank cuts to 2% •ECB reduces by 75bp •House prices fall a further 2.6%","FTFT-081205-e","en","Financial Times"
"1570","By Ralph Atkins in Brussels and Chris Giles in London",2008-12-05,NA,"Europe's banks slash rates; UK falls to 2% •ECB reduces by 75bp •France reveals €26bn stimulus","FTFT-081205-e","en","Financial Times"
"1571","By Ralph Atkins in Brussels",2008-12-04,NA,"ECB slashes rates to 2.5%","FTCOM-081204-e","en","Financial Times"
"1572","By Neil Dennis",2008-12-04,NA,"European stocks pare gains after ECB cut","FTCOM-081204-e","en","Financial Times"
"1573","By Tim Falconer",2008-12-03,NA,"Stocks Climb as Markets Await ECB","WSJO-091008-e","en","The Wall Street Journal"
"1574","By Chris Flood",2008-12-01,NA,"ECB under pressure to follow UK rate cuts","FTFT-081201-e","en","Financial Times"
"1575","By Ralph Atkins in Frankfurt",2008-11-28,NA,"ECB set to cut rate by at least half a point","FTFT-081128-e","en","Financial Times"
"1576","By Ralph Atkins in Frankfurt",2008-11-26,NA,"Focus on confidence, ECB aide warns","FTFT-081126-e","en","Financial Times"
"1577","By Joellen Perry and Martin Gelnar",2008-11-21,NA,"Switzerland's Surprise Rate Cut Adds Pressure on ECB to Act Quickly","WSJO-091007-e","en","The Wall Street Journal"
"1578","By Joellen Perry and Martin Gelnar",2008-11-21,NA,"World News: Switzerland's Surprise Rate Cut Adds Pressure on ECB to Act Quickly","J-081121-e","en","The Wall Street Journal"
"1579","By Bertrand Benoit and Chris Bryant in Berlin",2008-11-13,NA,"Steinmeier calls for 'intensive dialogue' with ECB","FTCOM-081113-e","en","Financial Times"
"1580","By Leos Rousek",2008-11-12,NA,"Slovakia lowers main interest rate to match ECB","WSJO-091007-e","en","The Wall Street Journal"
"1581","By Paul J Davies",2008-11-11,NA,"ECB sends a message to banks","FTFT-081111-e","en","Financial Times"
"1582","By Daniel Schäfer and Ralph Atkins in Frankfurt",2008-11-11,NA,"VW to use €2.8bn securities to tap ECB for liquidity","FTFT-081111-e","en","Financial Times"
"1583","By Chris Flood",2008-11-10,NA,"ECB pressed to loosen monetary policy further","FTFT-081110-e","en","Financial Times"
"1584",NA,2008-11-07,NA,"Thumbs up and thumbs down; ECB needs to learn from Bank of England's bold rate cut","FTFT-081107-e","en","Financial Times"
"1585","By Ralph Atkins in Frankfurt",2008-11-06,NA,"ECB hawks signal help for growth","FTFT-081106-e","en","Financial Times"
"1586",NA,2008-11-06,NA,"Bank of England and ECB rates","FTCOM-081106-e","en","Financial Times"
"1587","By Adam Bradbery",2008-11-04,NA,"ECB pushes industry to lower credit-swap risk","WSJE-081104-e","en","The Wall Street Journal"
"1588","By Adam Bradbery",2008-11-04,NA,"ECB Pushes Industry to Lower Credit-Swap Risk","WSJO-091007-e","en","The Wall Street Journal"
"1589","Matt Scott",2008-10-31,NA,"Digger: India stance forced ECB into bed with Stanford","GRDN-081031-e","en","The Guardian"
"1590","By Alistair MacDonald and Marcus Walker",2008-10-28,NA,"Doubts Prevail as Efforts to Spur Economy Falter; ECB Nears a Rate Cut as France, U.K. Work to Address Downturn","WSJO-091007-e","en","The Wall Street Journal"
"1591","By Joellen Perry in Frankfurt and Sudeep Reddy in Washington",2008-10-28,NA,"The Financial Crisis: ECB's Trichet Signals a Rate Cut for Next Week","J-081028-e","en","The Wall Street Journal"
"1592","By Ralph Atkins in Frankfurt and Nikki Tait in Brussels",2008-10-28,NA,"Trichet hints at ECB's room for manoeuvre","FTFT-081028-e","en","Financial Times"
"1593","By Margit Feher and Marcus Walker",2008-10-18,NA,"World News: Hungary Has Woes Despite ECB Loan","J-081018-e","en","The Wall Street Journal"
"1594","By Margit Feher and Marcus Walker",2008-10-18,NA,"Hungary Has Woes Despite ECB Loan","WSJO-091007-e","en","The Wall Street Journal"
"1595","By Joellen Perry",2008-10-17,NA,"The Financial Crisis: ECB Extends an Emergency Loan to Hungary --- Unprecedented Move Highlights Growing Concerns That the Euro Zone Could Suffer if Central European State's Economy Founders","J-081017-e","en","The Wall Street Journal"
"1596","By FT Reporters",2008-10-17,NA,"ECB supports Hungary ahead of IMF","FTFT-081017-e","en","Financial Times"
"1597","By Joellen Perry",2008-10-17,NA,"ECB Extends an Emergency Loan to Hungary; Unprecedented Move Highlights Growing Concerns That the Euro Zone Could Suffer if Central European State's Economy Founders","WSJO-091007-e","en","The Wall Street Journal"
"1598","By Joellen Perry",2008-10-17,NA,"Hungary is offered aid package from ECB --- Bank looks to put out non-euro-zone fires; forint rallies on news","WSJE-081017-e","en","The Wall Street Journal"
"1599","By Ralph Atkins in Frankfurt",2008-10-16,NA,"ECB set to 'give plumbing system a reboot'","FTFT-081016-e","en","Financial Times"
"1600","By Stefan Wagstyl in London, Thomas Escritt in Budapest and Roman Olearchyk in Kiev",2008-10-15,NA,"ECB to provide liquidity to Hungarian central bank","FTCOM-081016-e","en","Financial Times"
"1601","By Ralph Atkins in Frankfurt",2008-10-14,NA,"ECB promises dollar boost to revive markets","FTFT-081014-e","en","Financial Times"
"1602","By Adam Bradbery",2008-10-03,NA,"ECB, BOE Widen Liquidity Access","WSJO-091007-e","en","The Wall Street Journal"
"1603","By Sarah Turner",2008-10-03,NA,"Stocks end lower on day amid worries about U.S. ECB's dovish stance, upbeat UBS outlook fail to stem the slide","WSJO-091007-e","en","The Wall Street Journal"
"1604","By Sarah Turner",2008-10-03,NA,"Stocks end lower on day amid worries about U.S. --- ECB's dovish stance, upbeat UBS outlook fail to stem the slide","WSJE-081003-e","en","The Wall Street Journal"
"1605","By Nina Koeppen and Natasha Brereton",2008-10-02,NA,"International Finance: ECB, Bank of England Inject $80 Billion Into the System","J-081002-e","en","The Wall Street Journal"
"1606","By Nina Koeppen and Natasha Brereton",2008-10-02,NA,"ECB, Bank of England Inject $80 Billion Into the System","WSJO-091008-e","en","The Wall Street Journal"
"1607","By Nina Koeppen and Natasha Brereton",2008-10-02,NA,"ECB and BOE inject $80 billion into bank system","WSJE-081002-e","en","The Wall Street Journal"
"1608",NA,2008-10-01,NA,"Lower rates on the eurozone's horizon; The ECB should start preparing markets for looser policy","FTFT-081001-e","en","Financial Times"
"1609","Ian Traynor Brussels",2008-09-29,NA,"The dam bursts: Fortis on the brink of collapse: ECB in talks with Belgian and Dutch governments BNP Paribas and ING could stage rescue bid","GRDN-080928-e","en","The Guardian"
"1610","By Joellen Perry",2008-09-27,NA,"The Financial Crisis: ECB Leans Toward Keeping Rates Steady Despite Market Turmoil","J-080927-e","en","The Wall Street Journal"
"1611","By Ralph Atkins in Frankfurt",2008-09-22,NA,"ECB keeps inflation squarely in its sights","FTFT-080922-e","en","Financial Times"
"1612","By Ralph Atkins in Frankfurt",2008-09-22,NA,"ECB keeps inflation squarely in its sights","FTCOM-080922-e","en","Financial Times"
"1613","By Ralph Atkins in Frankfurt",2008-09-17,NA,"Crisis adds to ECB concern on inflation","FTFT-080917-e","en","Financial Times"
"1614","By Ralph Atkins in Frankfurt",2008-09-16,NA,"ECB injects €70bn to bolster market","FTCOM-080916-e","en","Financial Times"
"1615","By Ralph Atkins in Frankfurt and Delphine Strauss and Norma Cohen in London",2008-09-15,NA,"ECB and Bank of England inject funds","FTCOM-080915-e","en","Financial Times"
"1616","By Ralph Atkins in Frankfurt and Delphine Strauss and Norma Cohen in London",2008-09-15,NA,"ECB, Bank of England inject funds","FTCOM-080915-e","en","Financial Times"
"1617","By Joellen Perry in Frankfurt and Sudeep Reddy in Washington",2008-09-11,NA,"World News: Europe Shuns U.S.-Style Stimulus Steps --- Growth Forecasts Get Big Downgrade, But ECB Is Cautious","J-080911-e","en","The Wall Street Journal"
"1618","By Joellen Perry",2008-09-05,NA,"Leading the News: Interest rates are on hold --- Bank of England, ECB view inflation as the main threat","AWSJ-080904-e","en","The Wall Street Journal"
"1619","By Dan Molinski",2008-09-05,NA,"ECB View Cripples Euro, Pound","J-080905-e","en","The Wall Street Journal"
"1620","By Jonathan House and Christopher Bjork",2008-09-05,NA,"International Finance: ECB Rules May Pressure Spain","J-080905-e","en","The Wall Street Journal"
"1621","Nick Fletcher",2008-09-05,NA,"Financial: Market forces: ECB deepens gloom with talk of slowdown","GRDN-080905-e","en","The Guardian"
"1622","By Ralph Atkins in Frankfurt and Anousha Sakoui and Paul J Davies in London",2008-09-05,NA,"Bank shares reel from ECB's crackdown on funding abuse","FTFT-080905-e","en","Financial Times"
"1623","By Paul J Davies in London and Ralph Atkins in Frankfurt",2008-09-03,NA,"ECB's liquidity-supporting measures in spotlight","FTCOM-080903-e","en","Financial Times"
"1624","By Carrick Mollenkamp and Sara Schaefer Munoz",2008-08-30,NA,"ECB Plots Clampdown --- Collateral on Loans Propping Up Banks Appears to Be Dicey","J-080830-e","en","The Wall Street Journal"
"1625","By Shyamantha Asokan",2008-08-28,NA,"ECB's rate talk helps euro gain ground","FTFT-080828-e","en","Financial Times"
"1626","By Ralph Atkins in Frankfurt",2008-08-28,NA,"Inflation fears steer ECB away from rate cuts","FTFT-080828-e","en","Financial Times"
"1627","By Paul J Davies",2008-08-27,NA,"ABS markets nervous over ECB collateral crackdown","FTFT-080827-e","en","Financial Times"
"1628","By Dave Shellock",2008-08-27,NA,"Overview: ECB comments bolster euro","FTCOM-080827-e","en","Financial Times"
"1629","By Ralph Atkins in Frankfurt",2008-08-26,NA,"ECB under fire for handling of downturn","FTFT-080826-e","en","Financial Times"
"1630","By Ralph Atkins in Frankfurt",2008-08-25,NA,"ECB to tackle abuse of liquidity aid","FTFT-080825-e","en","Financial Times"
"1631","By Jane Croft, Retail Banking Correspondent",2008-08-19,NA,"Nationwide plans Irish operation to gain access to ECB funding","FTFT-080819-e","en","Financial Times"
"1632","By Ralph Atkins in Frankfurt",2008-08-13,NA,"ECB official warns of 'protracted weakness'","FTCOM-080813-e","en","Financial Times"
"1633","By Joellen Perry",2008-08-08,NA,"World News: ECB, Bank of England Keep Rates Steady","J-080808-e","en","The Wall Street Journal"
"1634","By Dan Molinski",2008-08-04,NA,"Forex View: EU Pain Is Dollar's Gain --- Fed, ECB Outlooks Should Set Course For the Currencies","J-080804-e","en","The Wall Street Journal"
"1635","Lawrence Booth",2008-07-26,NA,"ECB proposes compromise to let Champions League proceed","GRDN-080725-e","en","The Guardian"
"1636","By Roman Kessler and Monica Houston-Waesch",2008-07-23,NA,"World News: German Strikes Pose Challenge for ECB","J-080723-e","en","The Wall Street Journal"
"1637",NA,2008-07-22,NA,"A Trojan Horse; Sarkozy's scheme for ECB reform should be ignored","FTFT-080722-e","en","Financial Times"
"1638","By Ben Hall in Paris and Ralph Atkins in Frankfurt",2008-07-21,NA,"Sarkozy calls for more accountable ECB","FTFT-080721-e","en","Financial Times"
"1639","By Riva Froymovich",2008-07-10,NA,"Dollar Falls Victim to ECB Comments, Rise in Crude and U.S. Financial News","J-080710-e","en","The Wall Street Journal"
"1640","By Emese Bartha and Adam Cohen",2008-07-08,NA,"ECB Rate Rise Focuses on Wages","J-080708-e","en","The Wall Street Journal"
"1641","By Tony Barber in Brussels",2008-07-08,NA,"Steinbrück distances himself from French over ECB","FTCOM-080708-e","en","Financial Times"
"1642","By Tony Barber in Brussels",2008-07-05,NA,"Barroso backs ECB over rates","FTFT-080705-e","en","Financial Times"
"1643","By Joellen Perry",2008-07-05,NA,"World News: Outlook Eases for More ECB Rate Rises, After a Lift","J-080705-e","en","The Wall Street Journal"
"1644","By Paul Evans and Dan Molinski",2008-07-05,NA,"Dollar Basks in ECB's Caution","J-080705-e","en","The Wall Street Journal"
"1645",NA,2008-07-03,NA,"ECB raises interest rates to 4.25%","GRULTD-080704-e","en","The Guardian"
"1646","By Peter Garnham",2008-07-03,NA,"Euro falls as ECB raises rates 25bp","FTCOM-080703-e","en","Financial Times"
"1647","By Tony Barber in Paris",2008-07-02,NA,"Elysée attacks 'misguided' policy of ECB","FTFT-080702-e","en","Financial Times"
"1648","By Emma Charlton",2008-07-01,NA,"World News: ECB Expected To Raise Rates As Prices Climb","J-080701-e","en","The Wall Street Journal"
"1649","By Dan Molinski",2008-07-01,NA,"Dollar Rises, but Traders Await Key Data --- U.S. Employment, ECB Interest Rate Coming Thursday","J-080701-e","en","The Wall Street Journal"
"1650","Ashley Seager",2008-07-01,NA,"Credit crunch:: Central bank likely to raise eurozone interest rates despite downturn: One-size-fits-all policy will hit Ireland and Spain: ECB concern over fastest rising prices for 16 years","GRDN-080701-e","en","The Guardian"
"1651",NA,2008-07-01,NA,"Tough love; The ECB must choose credibility over popularity this week","FTFT-080701-e","en","Financial Times"
"1652","By Matt Turner",2008-06-26,NA,"Financial News: ECB's new home on hold --- Central bank says contractor estimates far exceeded budget","WSJE-080626-e","en","The Wall Street Journal"
"1653","By Ralph Atkins in Frankfurt",2008-06-24,NA,"ECB careful not to repeat mistakes of the past","FTFT-080624-e","en","Financial Times"
"1654",NA,2008-06-24,NA,"Too hot and cold; One rate rise is the best answer to a dilemma for the ECB","FTFT-080624-e","en","Financial Times"
"1655","By Marcus Walker",2008-06-24,NA,"Slowdown hits euro zone --- ECB faces dilemma as weakness appears in two key indicators","WSJE-080624-e","en","The Wall Street Journal"
"1656","Atkins, Ralph",2008-06-19,NA,"'Alarm' at ECB points to rate rise","FTFT-080619-e","en","Financial Times"
"1657","By Emma Charlton and Roman Kessler",2008-06-14,NA,"Global Economy: Data on Prices Make Rate Rise By ECB Likely","J-080614-e","en","The Wall Street Journal"
"1658","Barney Ronay",2008-06-14,NA,"How did the ECB fall for Stanford?","GRDN-080613-e","en","The Guardian"
"1659",NA,2008-06-11,NA,"Birthday greetings for the ECB","GRULTD-080611-e","en","The Guardian"
"1660",NA,2008-06-10,NA,"US sees a shadow of the Bundesbank; The Fed will be constrained by an inflation-fighting ECB","FTFT-080610-e","en","Financial Times"
"1661","By Joellen Perry",2008-06-06,NA,"ECB Holds Rate, but Increase May Loom","J-080606-e","en","The Wall Street Journal"
"1662",NA,2008-06-05,NA,"ECB president hints at rate rise in July","GRULTD-080605-e","en","The Guardian"
"1663",NA,2008-06-05,NA,"ECB rate decision","FTCOM-080605-e","en","Financial Times"
"1664","By Dave Shellock",2008-06-04,NA,"Overview: US rebounds as Europe waits on ECB verdict","FTCOM-080604-e","en","Financial Times"
"1665","By Ralph Atkins in Frankfurt",2008-05-29,NA,"Surge in German inflation dulls chances of ECB interest rate cut","FTFT-080529-e","en","Financial Times"
"1666","By Ralph Atkins in Frankfurt",2008-05-26,NA,"Ten years on, a seasoned ECB takes pride in its predictability","FTFT-080526-e","en","Financial Times"
"1667","Paul Kelso",2008-05-26,NA,"Counties face shake-up amid ECB revolution: Three-division structure to be considered Changes to allow mid-season Premier League","GRDN-080525-e","en","The Guardian"
"1668","By Ralph Atkins in Frankfurt and Paul J Davies in London",2008-05-25,NA,"Banks 'not addicted to ECB liquidity'","FTCOM-080525-e","en","Financial Times"
"1669","By Monica Houston-waesch",2008-05-21,NA,"Predicting ECB's Rate Move Proves Tricky","J-080521-e","en","The Wall Street Journal"
"1670","By RALPH ATKINS and RACHEL MORARJEE",2008-05-09,NA,"ECB opts to keep interest rates on hold.","FTFT-080509-e","en","Financial Times"
"1671",NA,2008-05-09,NA,"The ECB's wisdom.","FTFT-080509-e","en","Financial Times"
"1672","By Riva Froymovich",2008-05-08,NA,"Euro Falls on Weak Data As ECB Nears Rate Decision","J-080508-e","en","The Wall Street Journal"
"1673","Ralph Atkins in Athens",2008-05-08,NA,"FT.com site : ECB keeps rates on hold despite slowing economy.","FTCOM-080509-e","en","Financial Times"
"1674","Paul J Davies",2008-05-07,NA,"FT.com site : Fitch support for ECB liquidity move.","FTCOM-080507-e","en","Financial Times"
"1675","Ralph Atkins in Frankfurt",2008-05-06,NA,"FT.com site : Headache for ECB as eurozone economies diverge.","FTCOM-080507-e","en","Financial Times"
"1676","By Riva Froymovich",2008-05-05,NA,"World Currency Trading: Unpopular U.S. dollar regains its allure --- ECB chief's opinion on euro-zone outlook is considered critical","AWSJ-080504-e","en","The Wall Street Journal"
"1677","By RALPH ATKINS, ERIC FREY and KERIN HOPE",2008-05-03,NA,"ECB lobby loses inflation hawk.","FTFT-080503-e","en","Financial Times"
"1678","By RALPH ATKINS",2008-04-30,NA,"Borrowing on home equity is too risky, says ECB.","FTFT-080430-e","en","Financial Times"
"1679","By RALPH ATKINS",2008-04-29,NA,"Germany's inflation success brings temporary relief for ECB.","FTFT-080429-e","en","Financial Times"
"1680",NA,2008-04-25,NA,"ECB reveals English Premier League likely by 2010","GRULTD-080425-e","en","The Guardian"
"1681","David Hopps",2008-04-25,NA,"Counties asked to merge for Twenty20 league: Six regions would contest rival to Indian competition ECB to discuss proposals at meeting next month","GRDN-080424-e","en","The Guardian"
"1682","By Joellen Perry",2008-04-25,NA,"Noyer rebuts ECB critics --- Top bank official says euro zone can handle cross-border crisis","WSJE-080425-e","en","The Wall Street Journal"
"1683","By Joellen Perry",2008-04-23,NA,"World News: ECB Official Says Remark Misunderstood","J-080423-e","en","The Wall Street Journal"
"1684","By RALPH ATKINS, TONY BARBER and BEN HALL",2008-04-23,NA,"Euro soars as ECB takes tough stance.","FTFT-080423-e","en","Financial Times"
"1685","By RALPH ATKINS and BEN HALL",2008-04-23,NA,"ECB talks tough on eurozone inflation.","FTFT-080423-e","en","Financial Times"
"1686","By Don Curren",2008-04-21,NA,"Forex View: ECB-Political Split Could Damp the Euro --- Central Bankers, Nations' Ministries Differ on Rate Cut","J-080421-e","en","The Wall Street Journal"
"1687","By Luca Di Leo and Sofia Celeste",2008-04-17,NA,"Berlusconi rebukes ECB for limiting its policy role","WSJE-080417-e","en","The Wall Street Journal"
"1688","By Emma Charlton and Katie Martin",2008-04-17,NA,"World News: Euro-Zone Inflation Gains, Resisting ECB","J-080417-e","en","The Wall Street Journal"
"1689","By Emma Charlton and Nicholas Winning",2008-04-16,NA,"Increasing Pressures in U.K. Boost Rate-Cut Expectations --- Inflation in France, Italy Make it Likely ECB Will Stand Pat","J-080416-e","en","The Wall Street Journal"
"1690","By GUY DINMORE",2008-04-12,NA,"Berlusconi vents wrath on ECB rates policy.","FTFT-080412-e","en","Financial Times"
"1691","By GUY DINMORE",2008-04-12,NA,"Berlusconi vents wrath on ECB policy.","FTFT-080412-e","en","Financial Times"
"1692","By Joellen Perry",2008-04-11,NA,"U.K. Cuts Rate a Quarter Point as ECB Holds Steady","J-080411-e","en","The Wall Street Journal"
"1693",NA,2008-04-11,NA,"Germany and the ECB.","FTFT-080411-e","en","Financial Times"
"1694","By RALPH ATKINS",2008-04-11,NA,"ECB fears big falls in pound as policies diverge.","FTFT-080411-e","en","Financial Times"
"1695","By PETER GARNHAM",2008-04-11,NA,"Euro powers on after ECB holds rates.","FTFT-080411-e","en","Financial Times"
"1696","Guy Dinmore in Rome",2008-04-11,NA,"FT.com site : Berlusconi vents wrath on ECB policy.","FTCOM-080412-e","en","Financial Times"
